flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 97A,Chinese,#02:1; #03:3; #04:1; #05:1; #06:1; #07:1; #08:2; #09:2; #10:1; #15:1; #22:1,"$512,300 - $638,500",Important notes
3-room,Blk 98A,Chinese,#03:1; #04:3; #05:1; #06:2; #08:1; #09:1; #11:1; #15:1; #17:1; #19:1; #22:1; #25:1; #27:1; #30:1; #34:1,"$512,300 - $638,500",Important notes
3-room,Blk 97A,Indian/ Other Races,#02:1; #03:3; #04:1; #05:1; #06:1; #07:1; #08:2; #09:2; #10:1; #15:1; #22:1,"$512,300 - $638,500",Important notes
3-room,Blk 98A,Indian/ Other Races,#03:1; #04:3; #05:1; #06:2; #08:1; #09:1; #11:1; #15:1; #17:1; #19:1; #22:1; #25:1; #27:1; #30:1; #34:1,"$512,300 - $638,500",Important notes
3-room,Blk 97A,Malay,#02:1; #03:3; #04:1; #05:1; #06:1; #07:1; #08:2; #09:2; #10:1; #15:1; #22:1,"$512,300 - $638,500",Important notes
3-room,Blk 98A,Malay,#03:1; #04:3; #05:1; #06:2; #08:1; #09:1; #11:1; #15:1; #17:1; #19:1; #22:1; #25:1; #27:1; #30:1; #34:1,"$512,300 - $638,500",Important notes
4-room,Blk 97A,Chinese,#02:6; #03:8; #04:6; #05:2; #06:1; #07:1; #08:1; #10:1; #12:1; #13:1; #14:2; #15:1; #16:3; #19:1; #21:1; #22:2; #24:2; #27:1; #28:1; #29:1; #30:2; #31:1; #32:1; #36:1; #40:1; #41:1; #42:1,"$677,800 - $872,000",Important notes
4-room,Blk 98A,Chinese,#03:9; #04:10; #05:4; #06:1; #10:1; #13:1; #15:2; #16:1; #17:1; #18:1; #21:1; #23:2; #24:2; #26:2; #30:1; #32:2; #33:2; #35:2; #36:1; #37:1; #40:1; #41:1,"$677,800 - $872,000",Important notes
4-room,Blk 97A,Indian/ Other Races,#02:6; #03:8; #04:6; #05:2; #06:1; #07:1; #08:1; #10:1; #12:1; #13:1; #14:2; #15:1; #16:3; #19:1; #21:1; #22:2; #24:2; #27:1; #28:1; #29:1; #30:2; #31:1; #32:1; #36:1; #40:1; #41:1; #42:1,"$677,800 - $872,000",Important notes
4-room,Blk 98A,Indian/ Other Races,#03:9; #04:10; #05:4; #06:1; #10:1; #13:1; #15:2; #16:1; #17:1; #18:1; #21:1; #23:2; #24:2; #26:2; #30:1; #32:2; #33:2; #35:2; #36:1; #37:1; #40:1; #41:1,"$677,800 - $872,000",Important notes
4-room,Blk 97A,Malay,#02:6; #03:8; #04:6; #05:2; #06:1; #07:1; #08:1; #10:1; #12:1; #13:1; #14:2; #15:1; #16:3; #19:1; #21:1; #22:2; #24:2; #27:1; #28:1; #29:1; #30:2; #31:1; #32:1; #36:1; #40:1; #41:1; #42:1,"$677,800 - $872,000",Important notes
4-room,Blk 98A,Malay,#03:9; #04:10; #05:4; #06:1; #10:1; #13:1; #15:2; #16:1; #17:1; #18:1; #21:1; #23:2; #24:2; #26:2; #30:1; #32:2; #33:2; #35:2; #36:1; #37:1; #40:1; #41:1,"$677,800 - $872,000",Important notes
