flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 109A,Chinese,#03:1; #04:1; #05:1; #06:1; #07:1; #10:1; #12:1; #14:1; #16:1; #19:1; #27:1; #30:1; #33:1; #34:1; #37:1; #39:1; #40:1; #41:1,"$456,600 - $551,500",Important notes
3-room,Blk 109B,Chinese,#03:1; #04:1; #05:1; #15:1; #40:1,"$456,600 - $551,500",Important notes
3-room,Blk 109A,Indian/ Other Races,#03:1; #04:1; #05:1; #06:1; #07:1; #10:1; #12:1; #14:1; #16:1; #19:1; #27:1; #30:1; #33:1; #34:1; #37:1; #39:1; #40:1; #41:1,"$456,600 - $551,500",Important notes
3-room,Blk 109B,Indian/ Other Races,#03:1; #04:1; #05:1; #15:1; #40:1,"$456,600 - $551,500",Important notes
3-room,Blk 109A,Malay,#03:1; #04:1; #05:1; #06:1; #07:1; #10:1; #12:1; #14:1; #16:1; #19:1; #27:1; #30:1; #33:1; #34:1; #37:1; #39:1; #40:1; #41:1,"$456,600 - $551,500",Important notes
3-room,Blk 109B,Malay,#03:1; #04:1; #05:1; #15:1; #40:1,"$456,600 - $551,500",Important notes
4-room,Blk 109A,Chinese,#03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #14:1; #17:1; #20:1; #26:1; #34:1; #38:1; #39:1; #40:1; #42:1; #44:1; #46:1,"$684,100 - $838,200",Important notes
4-room,Blk 109B,Chinese,#03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #17:1; #20:1; #23:1; #24:1; #25:1; #26:1; #30:1; #35:1; #37:1; #40:1; #42:1; #45:1,"$684,100 - $838,200",Important notes
4-room,Blk 109A,Indian/ Other Races,#03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #14:1; #17:1; #20:1; #26:1; #34:1; #38:1; #39:1; #40:1; #42:1; #44:1; #46:1,"$684,100 - $838,200",Important notes
4-room,Blk 109B,Indian/ Other Races,#03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #17:1; #20:1; #23:1; #24:1; #25:1; #26:1; #30:1; #35:1; #37:1; #40:1; #42:1; #45:1,"$684,100 - $838,200",Important notes
4-room,Blk 109A,Malay,#03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #14:1; #17:1; #20:1; #26:1; #34:1; #38:1; #39:1; #40:1; #42:1; #44:1; #46:1,"$684,100 - $838,200",Important notes
4-room,Blk 109B,Malay,#03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #17:1; #20:1; #23:1; #24:1; #25:1; #26:1; #30:1; #35:1; #37:1; #40:1; #42:1; #45:1,"$684,100 - $838,200",Important notes
